Datetime,Tweet Id,Text,Username,lang
2021-12-11 09:01:03+00:00,1469593058186600458,"There is a new comet in town, and December is your only chance to see it before it disappears forever. Astronomers say that Comet Leonard is our best and brightest comet to see in 2021. https://t.co/QC5lIXtL1J",CNN,en
2021-12-11 07:31:10+00:00,1469570436526653440,"A total solar eclipse over Antarctica last weekend brought a few minutes of darkness to the continent, which usually experiences continual daylight during its summer season. https://t.co/4aN1FlEfaP https://t.co/Jbsv29Kbim",CNN,en
2021-12-11 07:04:04+00:00,1469563617884479492,A Black couple had a White friend show their home and its appraisal rose by nearly half a million dollars. Now they've filed a federal lawsuit. https://t.co/bI2tf0W4qC,CNN,en
2021-12-11 06:31:08+00:00,1469555330409545734,"After learning that her favorite Dunkin' employee had been evicted, an Ohio woman worked with several organizations to find a new home and furniture for the woman and her children, just in time for the holidays. https://t.co/8tFBmMk9Ac https://t.co/eE1Y56lkko",CNN,en
2021-12-11 06:01:04+00:00,1469547765957070852,The flood risk in these House lawmakers' districts is the highest in the country. Here's how they voted on bills that could help. https://t.co/XArkic4EX4,CNN,en
2021-12-11 05:31:04+00:00,1469540213236064256,"TikTok has released its top trends list of 2021, and it's full of drones, bones and joyful tones. These are the most popular TikToks in the US this year. https://t.co/djaWUT3Mq1 https://t.co/EtGXrMg1kl",CNN,en
2021-12-11 05:16:06+00:00,1469536448500178948,"Part of a $60 million security assistance package, including small arms and ammunition, was delivered to Ukraine on Thursday, according to a State Department official in the Bureau of Political-Military Affairs https://t.co/k0y2PYD4ni",CNN,en
2021-12-11 05:01:02+00:00,1469532657080061956,"These lasers could lead to more high-definition videos and photos from space than ever before, according to NASA. https://t.co/4pQpR3uOee",CNN,en
2021-12-11 04:46:06+00:00,1469528898836836357,"Elon Musk is ""thinking of"" leaving his jobs and becoming an influencer, the world's richest man tweeted. https://t.co/9PGkV5gTjE",CNN,en
2021-12-11 04:31:04+00:00,1469525116145246217,One hundred days after allowing a Texas law that bars abortion after the first six weeks of pregnancy to go into effect — sending women scrambling to neighboring states — the Supreme Court on Friday gave supporters of abortion rights little to celebrate. https://t.co/7ib75mIDa5,CNN,en
2021-12-11 04:16:03+00:00,1469521334384439297,"Like most airlines, Cathay Pacific was hit hard by the Covid-19 pandemic as travel collapsed around the world last year. But the challenges it faces as a Hong Kong-based business may be the toughest in the industry. https://t.co/rFCHDt9WHt",CNN,en
2021-12-11 04:01:06+00:00,1469517574488604673,"In the weeks leading up to January 6, one of Trump's campaign lawyers wrote memos outlining how she believed then-VP Mike Pence could reject electoral college votes and overturn the 2020 election, including one theory that he could ignore a federal law. https://t.co/2LNb0Ps2HW",CNN,en
2021-12-11 03:46:02+00:00,1469513783433474048,"A top State Department official traveled to Venezuela this week and met with detained Americans as the Biden administration continues to seek their release, multiple sources have confirmed to CNN https://t.co/iIyiKC3KgE",CNN,en
2021-12-11 03:31:04+00:00,1469510016155766785,A former supervisor testified Friday in Kim Potter's manslaughter trial that the then-officer had the right to use deadly force to prevent Daunte Wright from driving away and harming him in the process. https://t.co/tloySvmF5W,CNN,en
2021-12-11 03:16:01+00:00,1469506229676482565,"A federal judge has upheld the Justice Department's decision to use a felony obstruction law against US Capitol rioters, a major victory for prosecutors who have used the statute to charge hundreds of Trump supporters who were involved in the insurrection. https://t.co/N4MQsBslwn",CNN,en
2021-12-11 03:01:12+00:00,1469502500235587590,".@brikeilarcnn and @PamelaBrownCNN both have husbands with military service, so they're teaming up to make comfort food and a cocktail that are perfect for a day spent watching the big Army-Navy football game. https://t.co/SVkhsDokSd https://t.co/vKsE5BwvTs",CNN,en
2021-12-11 02:46:03+00:00,1469498688468836352,See New York City's dazzling holiday window displays https://t.co/W2z3aMIk4I https://t.co/fjqZxHtgZP,CNN,en
2021-12-11 02:31:05+00:00,1469494918154444801,"The 22-year-old man authorities believe dumped hundreds of FedEx packages into an Alabama ravine is expected to turn himself in, according to Blount County Sheriff Mark Moon. https://t.co/EsJt1gvbR9",CNN,en
2021-12-11 02:16:05+00:00,1469491144862179333,Why rural Americans may have fewer options to offset inflation https://t.co/PtaWGCAQaD https://t.co/C6ea9nQ6YC,CNN,en
2021-12-11 02:00:07+00:00,1469487128442810371,Who will be this year’s CNN Hero of the Year? Watch the 15th Annual CNN Heroes All-Star Tribute Sunday at 8 p.m. ET to find out LIVE! #CNNHeroes https://t.co/ItUcisuTw4,CNN,en
2021-12-11 01:46:02+00:00,1469483583844802566,"New York Governor Kathy Hochul has announced a new temporary indoor mask mandate, but at least one county leader says he won't be enforcing it. https://t.co/lQIhPfN9Xh",CNN,en
2021-12-11 01:31:04+00:00,1469479816873320454,"Just days after launching a bid for Georgia governor, Republican David Perdue has deepened his support of election fraud conspiracies by filing a lawsuit that seeks to inspect absentee ballots from the 2020 election. https://t.co/p1CyYdIr7J",CNN,en
2021-12-11 01:16:04+00:00,1469476042603741190,"President Biden said he doesn't know if he can get Democratic Sen. Joe Manchin on board to support his social safety net bill, but is expected to speak with him about the legislation next week as the Senate moves closer to its holiday recess. https://t.co/LVX9cMFxcP",CNN,en
